"Month","DayofMonth","DayOfWeek","DepTime","UniqueCarrier","Origin","Dest","Distance","dep_delayed_15min"
"9","16","6",1324,"YV","PHX","SBP",509,"N"
"6","16","4",948,"EV","ATL","EVV",350,"N"
"6","10","5",903,"NW","DTW","LGA",501,"Y"
"2","1","2",1509,"DL","CVG","BUF",410,"N"
"6","15","3",742,"CO","SNA","EWR",2433,"N"
"6","27","2",637,"NW","DTW","LGA",501,"N"
"9","30","6",2125,"OO","SLC","CPR",320,"N"
"12","2","5",1000,"DL","IND","ATL",432,"N"
"10","29","6",1415,"WN","LAX","TUS",451,"N"
"6","1","3",1630,"CO","TUL","IAH",429,"N"
"3","21","1",1756,"NW","DTW","ALB",488,"N"
"10","5","3",920,"OH","CVG","DSM",505,"N"
"2","13","1",552,"AS","LAX","SEA",954,"N"
"6","25","6",1750,"WN","DAL","ABQ",580,"N"
"11","20","7",2145,"HP","LAS","SAN",258,"Y"
"6","30","4",1510,"WN","MHT","BWI",377,"Y"
"1","4","3",925,"WN","ISP","PBI",1052,"N"
"9","23","5",714,"OO","SBA","LAX",89,"N"
"4","20","4",1502,"NW","MSP","DCA",931,"N"
"9","14","3",1452,"CO","LGA","IAH",1416,"N"
"9","7","3",2140,"XE","CLE","MSP",622,"Y"
"1","17","2",812,"AA","ORD","EGE",1007,"N"
"6","8","4",1048,"B6","PBI","JFK",1028,"N"
"6","17","5",839,"OH","MCO","CVG",756,"N"
"10","17","1",1727,"AA","ORD","DFW",802,"N"
"7","3","7",1950,"OO","MRY","SFO",77,"N"
"4","25","2",1900,"YV","IAD","AUS",1297,"Y"
"5","1","7",1337,"XE","IAH","GSO",986,"N"
"9","9","6",1713,"OH","CVG","CHA",278,"Y"
"7","7","5",637,"WN","MDW","PIT",402,"N"
"5","23","2",2030,"WN","DAL","HOU",239,"N"
"3","11","6",1734,"DL","ATL","HSV",151,"N"
"9","8","4",1301,"AS","SEA","SMF",605,"N"
"1","13","5",638,"OH","OKC","CVG",756,"N"
"10","5","4",1219,"WN","HOU","BWI",1246,"N"
"3","10","5",1600,"WN","PHX","LAS",256,"Y"
"9","15","5",616,"XE","SDF","EWR",642,"N"
"8","18","4",1946,"XE","EWR","BWI",169,"N"
"6","11","7",700,"WN","PHX","LAS",256,"N"
"7","26","2",935,"OH","JFK","RDU",426,"N"
"3","7","2",1445,"XE","COS","IAH",809,"N"
"12","14","3",1731,"EV","ATL","ILM",377,"N"
"7","26","2",1247,"OH","CHS","JFK",636,"N"
"2","16","4",634,"MQ","CVG","ORD",264,"N"
"10","30","1",2009,"CO","IAH","CMH",986,"N"
"10","22","7",1713,"MQ","FWA","ORD",157,"N"
"7","12","2",1405,"EV","AEX","ATL",500,"Y"
"8","6","6",1939,"HP","PHX","ANC",2551,"N"
"12","1","5",1654,"MQ","RDU","BOS",612,"Y"
"4","20","4",1109,"US","JAX","DCA",634,"N"
"11","1","3",801,"WN","SAT","LAS",1069,"N"
"12","17","6",1200,"WN","HOU","CRP",187,"Y"
"10","21","5",1400,"MQ","EVV","ORD",273,"N"
"4","8","6",1638,"DL","ATL","HNL",4502,"Y"
"4","18","1",848,"NW","SEA","DTW",1927,"N"
"2","20","1",1925,"B6","BUF","JFK",301,"N"
"6","27","1",813,"NW","SFO","DTW",2079,"N"
"12","22","5",1155,"WN","HOU","LAS",1235,"Y"
"3","8","3",1303,"FL","MCO","MDW",989,"Y"
"1","9","1",1015,"XE","DAY","EWR",533,"N"
"10","12","3",610,"FL","JAX","ATL",270,"N"
"10","30","1",927,"WN","PHX","PHL",2075,"N"
"9","22","4",1333,"MQ","SHV","DFW",190,"N"
"7","6","3",234,"B6","SJU","JFK",1597,"Y"
"5","11","3",955,"WN","BDL","BWI",283,"N"
"5","18","3",745,"WN","MDW","SDF",271,"N"
"12","20","2",1003,"EV","TYS","ATL",152,"N"
"7","13","3",2139,"US","DCA","BUF",296,"Y"
"6","22","3",2040,"WN","BWI","PBI",883,"Y"
"5","16","2",1141,"OO","RDM","PDX",116,"N"
"2","16","3",1420,"WN","ABQ","LBB",289,"N"
"5","1","1",1133,"DL","SLC","SMF",532,"N"
"9","3","6",830,"OO","LAX","SAN",109,"N"
"10","30","7",1617,"NW","EWR","DTW",487,"N"
"8","24","4",1212,"NW","DTW","AZO",113,"N"
"11","11","6",1354,"WN","LBB","DAL",293,"N"
"7","24","7",2041,"NW","DTW","MKE",238,"Y"
"12","16","6",848,"WN","MSY","TPA",487,"N"
"6","14","3",858,"HA","ITO","HNL",216,"N"
"5","18","4",1535,"HA","OGG","HNL",100,"N"
"2","15","2",1923,"OH","CVG","MDT",429,"N"
"10","12","3",1157,"XE","IND","IAH",845,"N"
"12","12","1",1745,"XE","EWR","DTW",487,"N"
"2","2","4",805,"EV","BZN","SLC",347,"N"
"5","5","5",1317,"B6","JFK","PBI",1028,"N"
"10","17","2",1621,"DL","ATL","FLL",581,"Y"
"3","14","2",1103,"DL","DCA","ATL",547,"N"
"11","25","5",938,"WN","MCO","JAN",587,"N"
"2","24","5",937,"US","LAS","DEN",629,"N"
"2","8","2",1215,"TZ","MDW","MSP",349,"N"
"7","30","6",1855,"WN","MCI","TUL",223,"Y"
"10","11","2",939,"XE","IAH","LFT",201,"N"
"5","22","7",1158,"AA","FLL","LGA",1076,"N"
"8","17","4",1735,"DL","FLL","SLC",2083,"N"
"4","12","2",1619,"NW","IND","PHX",1489,"N"
"8","21","1",804,"OO","ORD","TVC",224,"N"
"2","23","4",2115,"WN","BWI","MDW",611,"N"
"5","19","5",1406,"US","PHL","SFO",2521,"Y"
"5","16","1",2040,"WN","HRL","HOU",276,"N"
"4","17","1",1909,"OO","DEN","GTF",624,"Y"
"8","27","6",1001,"OO","DEN","SGF",637,"N"
"6","1","4",1114,"US","FLL","CLT",631,"N"
"10","24","1",511,"DL","MSP","ATL",906,"N"
"12","29","5",1321,"OH","RDU","BOS",612,"N"
"12","9","6",1925,"YV","CLT","GSO",83,"N"
"6","21","3",604,"F9","IND","DEN",977,"N"
"7","12","2",1720,"WN","SAT","TPA",972,"N"
"6","26","7",1415,"OH","STL","JFK",892,"Y"
"3","27","1",1108,"XE","CLE","RIC",362,"N"
"7","21","4",1359,"OO","RAP","ORD",780,"N"
"1","7","6",2042,"AA","MCO","MIA",193,"Y"
"7","3","1",1213,"CO","DFW","EWR",1372,"N"
"5","26","4",1547,"US","ORD","CLT",599,"N"
"10","21","5",850,"HP","PHX","TPA",1788,"N"
"12","12","1",1410,"OH","LEX","CVG",70,"N"
"9","4","1",1657,"AS","AKN","ANC",289,"Y"
"11","2","4",1215,"YV","PVD","IAD",372,"N"
"10","28","6",635,"XE","SAV","EWR",708,"N"
"5","14","7",1050,"OO","LAX","SNA",36,"N"
"11","14","2",829,"AA","LAX","ORD",1745,"Y"
"1","4","3",935,"UA","BWI","ORD",622,"N"
"2","19","7",1901,"DL","HNL","ATL",4502,"N"
"8","8","1",1139,"DL","MCO","CVG",756,"N"
"9","27","2",1600,"WN","PHX","ABQ",328,"N"
"1","19","3",1936,"UA","ORD","CMH",296,"Y"
"1","6","5",1657,"WN","PHX","ABQ",328,"N"
"9","9","6",1107,"CO","IAH","SEA",1874,"N"
"1","11","2",1130,"WN","MCO","MHT",1142,"N"
"2","14","1",647,"AA","DFW","SAT",247,"N"
"5","3","2",2013,"UA","DEN","SEA",1024,"N"
"7","12","3",1223,"FL","MLI","ATL",633,"N"
"6","13","2",1607,"AA","LAX","JFK",2475,"N"
"12","24","7",1429,"OO","MRY","LAX",267,"N"
"12","16","5",1144,"WN","SMF","BUR",358,"N"
"2","4","5",1656,"CO","EWR","PDX",2433,"N"
"4","24","1",57,"NW","LAS","MKE",1524,"N"
"7","11","2",1036,"OO","CLD","LAX",86,"N"
"4","6","3",2227,"OO","SFO","SBA",262,"N"
"10","27","4",1916,"XE","IAH","CAE",878,"N"
"6","29","3",1742,"OO","FAT","LAS",258,"N"
"2","16","3",1306,"XE","IAH","DAY",929,"N"
"10","24","1",751,"XE","IAH","LIT",374,"N"
"2","21","1",1303,"HP","PHX","IAH",1009,"N"
"6","7","2",1930,"XE","SYR","CLE",317,"Y"
"2","10","4",1538,"OO","DEN","ICT",419,"N"
"5","4","4",1428,"YV","CHS","CLT",168,"N"
"8","10","3",1733,"US","PHL","BOS",280,"N"
"3","19","6",1040,"DL","ATL","PHL",665,"N"
"2","14","1",1235,"AA","SFO","ORD",1846,"Y"
"10","31","2",1710,"WN","OAK","LAS",407,"N"
"7","13","4",1020,"XE","DCA","CLE",310,"N"
"8","15","2",910,"MQ","BTR","DFW",383,"N"
"12","21","4",1045,"FL","MCO","MKE",1066,"N"
"3","28","1",1710,"EV","SMF","SLC",532,"N"
"3","15","2",929,"XE","IAH","SHV",192,"N"
"8","10","4",1034,"YV","HDN","DEN",142,"N"
"7","11","2",1501,"CO","FLL","IAH",965,"N"
"1","27","4",1555,"WN","PDX","BOI",344,"Y"
"7","12","3",554,"AA","LAS","STL",1372,"N"
"6","12","1",1401,"MQ","BTR","DFW",383,"Y"
"4","28","5",1405,"YV","CLT","LEX",282,"N"
"12","30","5",1513,"EV","ATL","JAN",341,"Y"
"4","26","2",1904,"AA","SJC","SNA",342,"N"
"1","21","5",710,"WN","FLL","MCO",178,"N"
"11","14","1",608,"AA","PHL","DFW",1302,"N"
"12","12","1",632,"AA","LAX","DFW",1235,"N"
"10","11","2",1504,"NW","IND","MEM",381,"Y"
"12","8","4",1410,"WN","ABQ","LBB",289,"N"
"6","15","4",1830,"YV","GSP","ORD",577,"Y"
"2","17","4",843,"OO","DEN","IAH",861,"N"
"9","18","7",908,"XE","EWR","DAB",884,"N"
"8","16","3",2025,"OO","GRR","ORD",137,"N"
"9","14","4",1035,"WN","LAX","MDW",1750,"N"
"6","21","2",1128,"MQ","RDU","BOS",612,"N"
"9","24","6",1332,"OO","SLC","SFO",599,"N"
"9","23","6",1348,"FL","SAV","ATL",215,"Y"
"9","2","6",1803,"WN","PIT","PHL",267,"N"
"8","21","7",1257,"UA","MDW","IAD",577,"N"
"4","14","4",926,"FL","ATL","DEN",1199,"N"
"6","20","2",1044,"US","CLT","JAX",329,"Y"
"3","27","7",500,"EV","VPS","ATL",264,"N"
"1","30","7",925,"AA","LAS","SJC",386,"N"
"12","22","5",646,"DL","DCA","LGA",214,"N"
"1","7","5",1742,"AS","SEA","SNA",978,"N"
"9","27","2",1322,"UA","MCI","ORD",403,"N"
"10","10","2",1840,"DL","LGA","FLL",1076,"N"
"3","3","5",959,"DL","ATL","PNS",272,"N"
"7","29","5",1550,"AA","DFW","PHL",1302,"Y"
"6","17","6",632,"AA","ABQ","DFW",569,"N"
"9","6","3",1955,"WN","SAT","PHX",843,"N"
"8","23","2",1210,"XE","PIT","EWR",319,"N"
"12","8","4",1530,"AA","STL","DFW",551,"N"
"5","7","7",1301,"AS","BOI","SEA",399,"N"
"4","5","3",1448,"EV","ATL","CHA",106,"N"
"4","21","5",804,"FL","MCO","MDW",989,"N"
"12","18","1",2029,"US","PHL","MSY",1088,"Y"
"10","16","7",1747,"CO","RSW","EWR",1068,"Y"
"3","19","6",1247,"DH","MHT","IAD",418,"N"
"1","1","7",831,"MQ","ORD","DBQ",147,"N"
"6","30","4",1708,"OO","SLC","HLN",402,"Y"
"12","21","3",1934,"MQ","DFW","DSM",624,"N"
"9","8","4",1310,"AA","ORD","MIA",1197,"N"
"12","12","2",1227,"MQ","DFW","ABI",158,"N"
"10","31","1",1935,"WN","OAK","ABQ",889,"N"
"6","23","4",544,"DL","MEM","ATL",332,"N"
"4","5","3",1730,"WN","SLC","DEN",391,"Y"
"4","30","6",1933,"OH","GSO","JFK",459,"Y"
"12","10","7",940,"YV","IAD","CLT",321,"Y"
"1","7","6",1555,"XE","BTR","IAH",253,"N"
"4","11","1",1914,"DL","CVG","PWM",810,"N"
"4","20","4",1832,"US","PHX","MKE",1460,"N"
"12","10","7",1815,"MQ","LGA","DSM",1031,"N"
"5","25","4",1605,"WN","LAX","LAS",236,"Y"
"10","17","1",2155,"DL","PDX","ATL",2172,"N"
"8","15","1",2140,"MQ","DFW","LBB",282,"Y"
"9","12","2",610,"WN","LAS","SJC",386,"N"
"4","23","6",1155,"DL","PHX","CVG",1569,"Y"
"5","16","1",1019,"MQ","DAY","DFW",861,"N"
"10","12","4",558,"EV","LFT","ATL",503,"N"
"8","18","4",2123,"OH","LGA","TYS",647,"N"
"9","20","2",2350,"HP","LAS","SEA",866,"N"
"7","18","2",810,"B6","BOS","JFK",187,"N"
"5","15","7",1159,"MQ","DFW","MKE",853,"N"
"1","27","4",1909,"XE","IAH","DAY",929,"N"
"10","24","1",1128,"MQ","ORD","OKC",693,"N"
"12","16","5",1208,"FL","ATL","BOS",946,"Y"
"11","19","6",944,"US","ORD","PHL",678,"N"
"9","5","1",1550,"WN","AUS","TPA",928,"N"
"9","8","5",807,"AA","ATL","ORD",606,"N"
"11","18","5",1127,"CO","EWR","BOS",200,"N"
"1","12","4",1714,"AA","DFW","OKC",175,"N"
"12","29","5",2058,"WN","LAS","OAK",407,"Y"
"7","15","6",910,"MQ","BDL","RDU",532,"N"
"6","13","1",1838,"UA","OMA","DEN",472,"N"
"8","27","6",1535,"OH","MEM","CVG",403,"N"
"12","18","1",1015,"OO","DEN","COS",72,"N"
"3","25","6",1735,"WN","SEA","OAK",671,"Y"
"7","31","1",952,"OO","DEN","TUL",541,"N"
"9","1","4",1038,"B6","BUR","JFK",2465,"N"
"7","2","7",619,"F9","SJC","DEN",948,"N"
"1","4","3",1435,"DL","DTW","ATL",594,"N"
"10","29","7",2336,"CO","LAS","CLE",1825,"N"
"5","5","4",1757,"UA","ORD","MSP",334,"N"
"7","8","5",937,"NW","MEM","DTW",610,"N"
"3","14","1",2239,"OO","SLC","LAX",590,"N"
"6","20","1",2003,"US","CLT","BWI",361,"Y"
"12","23","6",710,"US","LAX","CLT",2125,"N"
"8","2","2",1551,"US","BNA","CLT",329,"N"
"6","12","1",858,"EV","ATL","HPN",780,"N"
"7","27","4",919,"CO","PIT","IAH",1117,"Y"
"3","5","6",1924,"HA","OGG","HNL",100,"N"
"6","16","4",1020,"AA","SFO","LAX",337,"Y"
"7","23","6",917,"XE","CLE","LGA",418,"N"
"3","22","2",716,"DL","SFO","ATL",2139,"N"
"3","20","7",2119,"CO","MCO","EWR",938,"Y"
"12","27","3",619,"AA","LAX","DEN",862,"N"
"12","8","5",2036,"MQ","CLT","LGA",544,"Y"
"4","6","3",1955,"OO","JAC","SLC",205,"N"
"10","17","2",928,"NW","MEM","PHX",1263,"N"
"2","16","4",1529,"DL","JFK","SFO",2586,"N"
"10","7","5",1904,"XE","IAH","ATL",689,"Y"
"11","20","7",1526,"AA","ORD","LGA",733,"N"
"6","3","6",1255,"WN","BWI","RDU",255,"N"
"3","9","3",1404,"US","CLT","JAX",329,"Y"
"9","20","2",1059,"UA","SNA","ORD",1726,"N"
"5","14","7",1514,"UA","ORD","PHL",678,"Y"
"8","27","6",2046,"DL","SLC","PDX",630,"N"
"8","13","7",1341,"DL","GPT","ATL",352,"N"
"6","16","4",1630,"WN","SAN","OAK",446,"Y"
"12","6","2",700,"DL","BOS","SFO",2704,"N"
"7","3","7",1404,"FL","ROC","BWI",277,"N"
"5","28","6",718,"HP","PHX","LAX",370,"N"
"11","27","1",730,"AA","DFW","DTW",987,"N"
"8","12","5",1033,"HP","PHX","GEG",1020,"N"
"12","11","7",603,"UA","LAX","DEN",862,"N"
"1","17","1",615,"MQ","MKE","ORD",67,"N"
"2","26","7",2100,"WN","HOU","DAL",239,"N"
"4","28","5",2024,"FL","MCO","FNT",1011,"N"
"3","11","6",1013,"UA","DCA","ORD",612,"N"
"8","17","3",2015,"HP","SMF","LAS",397,"N"
"10","27","5",1459,"UA","SFO","ORD",1846,"Y"
"4","19","3",735,"WN","SDF","STL",254,"N"
"8","22","1",1915,"WN","ABQ","OAK",889,"N"
"10","31","1",1615,"WN","AUS","DAL",189,"Y"
"4","10","7",924,"CO","SNA","IAH",1347,"N"
"9","30","6",1734,"NW","MDW","MSP",349,"N"
"11","16","4",941,"B6","JFK","SAN",2446,"Y"
"2","20","1",1449,"MQ","DFW","PNS",604,"N"
"8","16","2",1925,"AA","DFW","MCO",984,"Y"
"12","13","3",1720,"CO","CLE","BOS",563,"Y"
"6","23","4",919,"HP","CMH","LAS",1772,"N"
"3","12","7",1158,"AA","JFK","MIA",1090,"N"
"3","31","4",1055,"MQ","ORD","ROC",528,"N"
"12","5","1",804,"MQ","ORD","BUF",473,"N"
"3","5","6",1122,"UA","JFK","SFO",2586,"N"
"4","14","4",1529,"DH","IAD","BDL",326,"Y"
"7","31","7",1732,"AA","EWR","LAX",2454,"Y"
"3","21","2",2038,"WN","ABQ","AMA",277,"N"
"6","12","1",1400,"MQ","CMH","LGA",478,"N"
"5","11","3",907,"UA","LAS","SFO",414,"N"
"9","19","2",1202,"AA","DFW","SAT",247,"N"
"6","13","2",750,"WN","ALB","BWI",288,"N"
"7","27","4",603,"OO","EUG","DEN",997,"N"
"4","15","5",2051,"FL","ATL","BMI",533,"N"
"9","22","4",2015,"DL","ATL","SRQ",445,"N"
"5","6","6",1100,"OO","SEA","PDX",129,"N"
"1","20","5",1527,"MQ","SAN","LAX",109,"N"
"9","6","2",1330,"OH","ROC","CVG",461,"N"
"6","30","4",1624,"AA","STL","LGA",887,"Y"
"2","19","6",1621,"XE","IAH","GSP",838,"N"
"6","22","3",1353,"MQ","TVC","DFW",1022,"N"
"10","31","2",1840,"UA","ORD","ROC",528,"N"
"8","8","2",1809,"EV","PHX","SLC",507,"Y"
"7","11","2",1007,"WN","TUS","LAX",451,"N"
"4","11","1",1606,"AA","TPA","DFW",929,"N"
"4","24","7",848,"US","DCA","CLT",331,"N"
"12","2","6",1044,"UA","SFO","ORD",1846,"N"
"11","11","5",956,"XE","PHL","CLE",363,"N"
"12","4","7",840,"WN","STL","MCI",237,"N"
"5","29","7",844,"UA","DEN","LAX",862,"N"
"3","26","7",1218,"WN","BNA","DTW",457,"N"
"7","18","1",1211,"XE","PIT","EWR",319,"N"
"6","29","3",1415,"DL","RSW","BOS",1249,"N"
"5","1","1",1222,"NW","SEA","MEM",1870,"N"
"7","6","3",816,"NW","GRB","MSP",252,"N"
"8","3","4",1947,"US","RDU","PHL",336,"Y"
"3","3","4",1204,"OO","STL","DEN",770,"N"
"8","11","5",2145,"OH","JFK","BOS",187,"Y"
"11","20","7",1638,"WN","IND","MDW",162,"Y"
"7","24","1",1430,"YV","IAD","LGA",229,"N"
"5","16","2",809,"US","PHL","TPA",920,"Y"
"11","13","7",900,"HP","SMF","PHX",647,"N"
"4","24","1",715,"WN","BWI","PBI",883,"N"
"1","18","2",1412,"UA","SMF","DEN",910,"N"
"6","27","1",1850,"WN","BDL","MDW",777,"N"
"6","8","4",934,"US","PHL","TPA",920,"N"
"6","16","4",1935,"WN","RDU","PHL",336,"Y"
"8","8","2",1747,"FL","BOS","BWI",370,"N"
"8","14","7",935,"OH","BOS","MYR",738,"N"
"5","9","2",1827,"MQ","DFW","MKE",853,"N"
"11","26","7",1422,"UA","DEN","SFO",967,"N"
"3","15","2",656,"AS","PDX","OAK",543,"N"
"4","6","3",1845,"WN","MCI","TUL",223,"Y"
"5","21","7",1201,"XE","IAH","DAL",217,"N"
"11","28","1",1150,"WN","LAS","OAK",407,"N"
"9","8","5",906,"WN","LAS","SAT",1069,"N"
"12","19","2",1928,"OO","ABQ","DEN",349,"N"
"2","27","7",659,"AA","LAX","MIA",2342,"N"
"12","27","2",1727,"UA","ORD","MCI",403,"N"
